player,market,line,side,dfs_book,fair_prob,edge,fair_american,num_books,matchup,commence_time,snapshot_at
Daniss Jenkins,player_points,9.5,Under,betr_us_dfs,0.5266352544856047,0.026635254485604665,-111,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Ausar Thompson,player_points,9.5,Under,betr_us_dfs,0.5256567070451156,0.02565670704511558,-111,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Isaiah Stewart II,player_points,3.5,Under,prizepicks,0.5251989389920424,0.025198938992042397,-111,1,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Isaiah Stewart II,player_points,3.5,Under,betr_us_dfs,0.5251989389920424,0.025198938992042397,-111,1,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Sam Merrill,player_points,5.5,Over,prizepicks,0.5238939547450185,0.023893954745018542,-110,2,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jalen Duren,player_points,13.5,Under,prizepicks,0.5197497068332969,0.01974970683329691,-108,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jalen Duren,player_points,13.5,Under,underdog,0.5197497068332969,0.01974970683329691,-108,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jalen Duren,player_points,13.5,Under,betr_us_dfs,0.5197497068332969,0.01974970683329691,-108,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jalen Duren,player_points,13.5,Under,pick6,0.5197497068332969,0.01974970683329691,-108,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Donovan Mitchell,player_points,27.5,Under,pick6,0.5178854370030841,0.017885437003084093,-107,3,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Max Strus,player_points,8.5,Under,prizepicks,0.5151245249977207,0.015124524997720656,-106,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Max Strus,player_points,8.5,Under,betr_us_dfs,0.5151245249977207,0.015124524997720656,-106,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Max Strus,player_points,8.5,Under,pick6,0.5151245249977207,0.015124524997720656,-106,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Cade Cunningham,player_points,27.5,Under,betr_us_dfs,0.5141599723090301,0.0141599723090301,-106,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Cade Cunningham,player_points,27.5,Under,pick6,0.5141599723090301,0.0141599723090301,-106,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Evan Mobley,player_points,15.5,Under,prizepicks,0.5117409218342203,0.011740921834220264,-105,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Evan Mobley,player_points,15.5,Under,betr_us_dfs,0.5117409218342203,0.011740921834220264,-105,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Evan Mobley,player_points,15.5,Under,pick6,0.5117409218342203,0.011740921834220264,-105,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Duncan Robinson,player_points,11.5,Over,prizepicks,0.5115132728641281,0.011513272864128066,-105,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Duncan Robinson,player_points,11.5,Over,underdog,0.5115132728641281,0.011513272864128066,-105,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
